state,year,vote,reg,close,edr,pcthsg,south,nonSouth
"il",2000,70.34826,82.28188,29,0,84.74,0,1
"in",1972,70.03809,83.3833,29,0,62.83,0,1
"in",1980,65.36131,73.66933,29,0,69.23,0,1
"in",1984,64.93507,73.21519,29,0,72.25,0,1
"in",1988,63.74696,72.80197,29,0,75.98,0,1
"in",1992,67.07211,73.38638,29,0,79.3,0,1
"in",1996,60.90751,75.04394,29,0,82.45,0,1
"in",2000,64.67342,75.60297,29,0,88.13,0,1
"ia",1972,73.58289,87.2156,10,0,69.57,0,1
"ia",1980,70.273,79.0923,10,0,78.94,0,1
"ia",1984,70.70908,78.86945,10,0,78.85,0,1
"ia",1988,66.36364,75.51804,10,0,83.56,0,1
"ia",1992,74.56734,82.3124,10,0,85.57,0,1
"ia",1996,66.37168,79.27046,10,0,87.12,0,1
"ia",2000,71.64751,80.96619,10,0,86.61,0,1
"ks",1972,70.41666,77.30125,20,0,68.91,0,1
"ks",1980,67.42751,74.18953,20,0,79.33,0,1
"ks",1984,67.7673,74.76266,20,0,78.56,0,1
"ks",1988,64.8855,72.29939,20,0,83.51,0,1
"ks",1992,75.21568,80.53586,14,0,88.25,0,1
"ks",1996,67.2,74.375,14,0,87.66,0,1
"ks",2000,68.33649,77.1646,15,0,90.11,0,1
"ky",1972,58.64662,71.00681,30,0,51.2,0,1
"ky",1980,60.56564,70.34632,30,0,62.26,0,1
"ky",1984,61.14742,73.21033,30,0,66.48,0,1
"ky",1988,53.66242,67.61827,30,0,68.05,0,1
"ky",1992,63.29652,72.72727,28,0,73.86,0,1
"ky",1996,57.65683,75.3271,28,0,76.43,0,1
"ky",2000,64.18199,82.31226,28,0,81.06,0,1
"la",1972,61.41125,77.33853,30,0,52.26,1,0
"la",1980,67.43227,76.82276,30,0,63.3,1,0
"la",1984,69.33524,78.64358,24,0,71.04,1,0
"la",1988,69.00474,79.46257,24,0,70.79,1,0
"la",1992,73.33334,82.07921,24,0,73.81,1,0
"la",1996,68.94977,81.81818,24,0,75.73,1,0
"la",2000,73.34014,85.28806,30,0,80.8,1,0
"me",1972,64.37848,80.18691,9,0,63.65,0,1
"me",1980,73.34152,87.3065,0,1,68.53,0,1
"me",1984,73.64153,89.18919,0,1,76.25,0,1
"me",1988,70.31524,85.22124,0,1,79.92,0,1
"me",1992,79.17485,90.46674,0,1,84.64,0,1
"me",1996,73.29729,87.59521,0,1,82.75,0,1
"me",2000,76.32743,89.63964,0,1,88.58,0,1
"md",1972,65.46803,74.39586,29,0,64,0,1
"md",1980,64.55156,73.10302,29,0,74.25,0,1
"md",1984,66.62621,75.78365,29,0,78.72,0,1
"md",1988,61.1379,72.21675,29,0,78.57,0,1
"md",1992,72.89719,79.44915,29,0,82.98,0,1
"md",1996,63.04591,76.94064,29,0,86.62,0,1
"md",2000,67.77523,77.81649,25,0,84.74,0,1
